epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,873.898,1.70285,4.47441,1.89137,0.631,0.57648,0.62093,0.27745,1.33923,8.71803,1.32985,0.00199909,0.00199909,0.0820081
2,1690.89,1.55749,3.20924,1.73048,0.65434,0.61117,0.66201,0.30707,1.31362,7.6132,1.30326,0.00399895,0.00399895,0.064008
3,2497.97,1.54494,3.07255,1.71872,0.66774,0.60131,0.65742,0.308,1.30329,6.32625,1.25987,0.00599824,0.00599824,0.0460073
4,3299.15,1.54631,3.02802,1.72197,0.6709,0.62438,0.67602,0.31891,1.31704,6.24521,1.29777,0.00799654,0.00799654,0.0280056
5,4102.67,1.57938,3.11562,1.76144,0.64829,0.60396,0.6523,0.3065,1.33274,6.70894,1.29301,0.00999341,0.00999341,0.0100025
6,4902.88,1.56914,3.06757,1.76329,0.68521,0.62772,0.69099,0.34373,1.27689,4.96687,1.24892,0.00999112,0.00999112,0.00999112
7,5704.62,1.52856,2.88138,1.72319,0.681,0.67623,0.71954,0.35913,1.25313,4.94389,1.24748,0.00998722,0.00998722,0.00998722
8,6515.97,1.49932,2.76392,1.69668,0.72408,0.68486,0.74615,0.38338,1.20914,5.26725,1.18255,0.0099826,0.0099826,0.0099826
9,7321.23,1.46361,2.65554,1.66306,0.73837,0.70821,0.76545,0.40172,1.17782,4.37505,1.156,0.00997728,0.00997728,0.00997728
10,8125.96,1.44802,2.58607,1.65137,0.73392,0.70818,0.76546,0.40247,1.17041,4.37441,1.15392,0.00997125,0.00997125,0.00997125
11,8937.27,1.43575,2.54408,1.63955,0.76079,0.71963,0.78526,0.42006,1.15173,4.02461,1.14353,0.00996452,0.00996452,0.00996452
12,9740.17,1.42144,2.47921,1.6189,0.76604,0.72967,0.79527,0.43038,1.14149,3.88354,1.12016,0.00995708,0.00995708,0.00995708
13,10542.7,1.40846,2.42023,1.60626,0.76772,0.73709,0.79811,0.43386,1.12929,3.3398,1.10575,0.00994893,0.00994893,0.00994893
14,11348.7,1.39398,2.39944,1.59655,0.78783,0.73759,0.81079,0.44302,1.11833,3.48737,1.09638,0.00994009,0.00994009,0.00994009
15,12155.3,1.38942,2.38617,1.59664,0.77566,0.74287,0.81048,0.4475,1.10452,3.41579,1.08648,0.00993054,0.00993054,0.00993054
16,12960,1.38023,2.32655,1.58063,0.79238,0.7467,0.82034,0.45365,1.0955,3.35024,1.07725,0.00992029,0.00992029,0.00992029
17,13761.9,1.36902,2.30048,1.57617,0.78993,0.75697,0.82561,0.45826,1.08707,3.071,1.07223,0.00990935,0.00990935,0.00990935
18,14566.9,1.36541,2.28908,1.56915,0.78593,0.76023,0.82485,0.46243,1.07799,2.94919,1.06784,0.00989771,0.00989771,0.00989771
19,15369.6,1.35881,2.24318,1.56521,0.80242,0.75525,0.82972,0.46928,1.07963,3.08817,1.06619,0.00988537,0.00988537,0.00988537
20,16176.8,1.35629,2.25159,1.55979,0.79724,0.76615,0.83201,0.46974,1.07062,2.95085,1.05508,0.00987234,0.00987234,0.00987234
21,16981.3,1.34664,2.22818,1.55295,0.80534,0.76351,0.83641,0.47476,1.06892,3.13329,1.04879,0.00985862,0.00985862,0.00985862
22,17799,1.34605,2.22707,1.54835,0.80822,0.76739,0.83951,0.47827,1.06203,2.95492,1.04971,0.00984422,0.00984422,0.00984422
23,18614,1.33984,2.20804,1.54941,0.80742,0.76778,0.8401,0.47986,1.06398,3.0455,1.05229,0.00982912,0.00982912,0.00982912
24,19430,1.33896,2.1772,1.54529,0.80946,0.77016,0.8439,0.47992,1.06292,2.94129,1.04943,0.00981335,0.00981335,0.00981335
25,20240.2,1.33072,2.16475,1.53853,0.80959,0.76852,0.84428,0.48218,1.06248,2.81823,1.04709,0.00979689,0.00979689,0.00979689
26,21044.4,1.32803,2.16183,1.5359,0.8112,0.77287,0.84629,0.48494,1.05717,2.79637,1.04339,0.00977975,0.00977975,0.00977975
27,21845.5,1.32464,2.151,1.53287,0.81541,0.77524,0.84742,0.48621,1.05405,2.719,1.04208,0.00976194,0.00976194,0.00976194
28,22646.1,1.32394,2.14058,1.53177,0.81856,0.77577,0.84845,0.48714,1.05304,2.76095,1.04009,0.00974346,0.00974346,0.00974346
29,23448,1.32416,2.14087,1.53032,0.81489,0.77687,0.84883,0.4894,1.05072,2.76623,1.03691,0.0097243,0.0097243,0.0097243
30,24255.1,1.31754,2.12736,1.52141,0.81496,0.77856,0.85024,0.4902,1.04916,2.77215,1.03491,0.00970448,0.00970448,0.00970448
31,25054.8,1.31632,2.10803,1.52332,0.81267,0.78433,0.8524,0.49128,1.04844,2.78149,1.03347,0.00968399,0.00968399,0.00968399
32,25864.7,1.31486,2.10371,1.51942,0.81301,0.78388,0.85275,0.49228,1.04901,2.79464,1.03354,0.00966285,0.00966285,0.00966285
33,26668.5,1.3086,2.09261,1.51498,0.81428,0.78236,0.85299,0.49245,1.04793,2.77397,1.03202,0.00964104,0.00964104,0.00964104
34,27471.6,1.30907,2.10109,1.5162,0.8147,0.78365,0.85298,0.49278,1.04711,2.74285,1.03163,0.00961859,0.00961859,0.00961859
35,28279,1.31017,2.08897,1.51508,0.8139,0.78524,0.85335,0.49368,1.04735,2.74088,1.03235,0.00959548,0.00959548,0.00959548
